test_id	result	started_at	finished_at	host	target	command	evidence	reason	requirement_effect
ogre_loader_compat	PASS	2026-07-28T14:55:31+00:00	2026-07-28T14:56:20+00:00	rpi	/opt/iros2j/rviz_ogre_vendor/opt/rviz_ogre_vendor/lib/OGRE/Plugin_OctreeZone.so.1.12.10	scripts/run-ogre-compat-gate.sh /home/rpi/ivins-ogre-compat.UdiFfu/evidence/native-final/offline-reinstall-final/ogre-gate-after-reinstall	/home/rpi/ivins-ogre-compat.UdiFfu/evidence/native-final/offline-reinstall-final/ogre-gate-after-reinstall/octree-ldd.txt		satisfied
complete_elf_audit	PASS	2026-07-28T14:55:31+00:00	2026-07-28T14:56:20+00:00	rpi	/opt/iros2j /opt/imavros /opt/vins (435 ELF files)	scripts/run-ogre-compat-gate.sh /home/rpi/ivins-ogre-compat.UdiFfu/evidence/native-final/offline-reinstall-final/ogre-gate-after-reinstall	/home/rpi/ivins-ogre-compat.UdiFfu/evidence/native-final/offline-reinstall-final/ogre-gate-after-reinstall/elf-ldd-audit.txt		satisfied
